Id,chk1a,txt1a,chk1b,txt1b,chk1c,txt1c,chk1d,txt1d,url1,chk2a,txt2a,chk2b,txt2b,chk2c,txt2c,chk2d,txt2d,chk2e,txt2e,url2,chk3a,txt3a,chk3b,txt3b,url3,chk4a,txt4a,chk4b,txt4b,chk4c,txt4c,chk4d,txt4d,url4,chk5a,txt5a,url5,chk6a,txt6a,chk6b,txt6b,chk6c,txt6c,url6,chk7a,txt7a,chk7b,txt7b,chk7c,txt7c,chk7d,txt7d,chk7e,txt7e,chk7f,txt7f,chk7g,txt7g,chk7h,txt7h,chk7i,txt7i,url7,chk8a0,txt8a0,chk8a,txt8a,chk8b,txt8b,chk8c,txt8c,chk8d,txt8d,chk8e,txt8e,chk8f,txt8f,chk8g,txt8g,chk8h,txt8h,url8,chk8i,txt8i,chk9a,txt9a,chk9b,txt9b,chk9c,txt9c,url9,chk10a,txt10a,chk10b,txt10b,chk10c,txt10c,url10,chk10d,txt10d,chk11a,txt11a,chk11b,txt11b,chk11c,txt11c,chk11d,txt11d,url11,customerId,mnthname,partnerinchargeId,regdate,employeeId,url9b,url11c,url11d,txt11e,chk11e,PartnerReviewdate,txt1aa,txt1bb,txt1cc,txt1dd,txt2aa,txt2bb,txt2cc,txt2dd,txt2ee,txt3aa,txt3bb,txt4aa,txt4bb,txt4cc,txt4dd,txt5aa,txt6aa,txt6bb,txt6cc,txt7aa,txt7bb,txt7cc,txt7dd,txt7ee,txt7ff,txt7gg,txt7hh,txt7ii,txt8a0a,txt8aa,txt8bb,txt8cc,txt8dd,txt8ee,txt8ff,txt8gg,txt8hh,txt8ii,txt9aa,txt9bb,txt9cc,txt10aa,txt10bb,txt10cc,txt10dd,txt11aa,txt11bb,txt11cc,txt11dd,txt11ee
2178,1,bank ac reconciles with the statement,1,"cash positive by 2,120,232/-",1,some cheques have been cleared in Jan 2021,1,"shareholders fund outstanding of 86,500,000/-",,1,Debtors have been confirmed by the client,1,client has confirmed those balances,1,no overpayment balances,1,Key deposits,1,no such case,,1,"closing stock positive by 176,077,364/-",1,no such case,,1,no additions,1,no additions,1,no any proceeds received or disposed,1,n/a,,1,no any inter comp transactions,,1,creditors balance have been confirmed by the client,1,no any,1,accruals of wcf and nssf which will be paid by end of month.,,1,checked on monthly basis,1,paid,1,submitted,1,paid on monthly basis,1,paid on monthly basis,1,paid on monthly basis,0,,1,to be submitted by end of month,1,to be submitted by end of month,,1,n/a for this month,1,to be done by this month,1,tax audit liability for 2019 to be paid,1,reconciling on monthy basis,1,yes,1,"vat payable by 1,220,360/-",1,n/a,1,rent paid to NHC,0,,,0,,1,Yes,0,,0,,NULL,1,checked,1,checked,1,checked,,1,reviewed,1,not yet,1,not yet,0,,0,,NULL,38,December,9,15/01/2021,18,,,,no,1,15/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,1,Bank account has been reconciled and it agrees with the bank statement amounting  5093912,1,Cash balance is positive by 7477539.71,1,There  and deposits are no Outstanding Checks,1,"There is a loan adjustment of 15,000,000 on 31/12/2019,shold i pay off with cash every month?",,1,Not Applicable as there are no receivables till date,1,Not applicable as there are no receivables,1,Not applicable,1,There are no prepayments,1,Not applicable,,1,"Closing stock as at 31.12.2020 is 33,357,533",1,stock is enough for two months,,1,There is no acquisition of fixed assets,1,Not applicable as there is no acquisition of fixed assets,1,Not applicable,1,Not applicable as there is no acquisition of fixed assets,,1,there are no intercompany balances,,1,Checked and has requested client for the statement for reconcile,1,"Checked, there are no payable balance on debit side",1,There is city levy adjustment accruals,,1,"checked, all monthly payroll deduction have been calculated and paid",1,PAYE is paid and SDL Is not liable as there are 2 staff in payroll,1,SDL is not applicable and PAYE has  already been submitted,1,WCF form has been prepared and paid,1,NSSF form has been prepared and paid,1,Not applicable,1,"Monthly drawings of 500,000/- have been recorded for december",1,"Not yet , but will prepare and submit before due date",1,"Not yet , but will prepare and submit before due date",,1,installment of year 2020 is paid,1,Submited on 18.3.2020,1,There is no tax audit liability,1,Yes vat for the month is reconciling,1,not yet but will do it after review with partner in charge,1,vat for december i s refunf by 3691189.72,1,no,1,withholding tax on rent was paid for whole year on 20.6.2020,0,,,1,"there was no changes in return of estimate , same installment was paid for 2020",1,"Yes, Z report is reconciling with the year report",1,There was no punching error this month,1,There was no credit note these month,NULL,1,Checked there are no expenses that should be capitalized,1,Checked there are no expenditure that should be capitalized,1,There are no items of miscellaneous/general expenses that could be classified as to another account,,1,reviewed the expenses with prior period,1,not yet but will do once reviewed with the partner in charge,1,not yet but will do once reviewed with the partner in charge,1,noted if reporting is been done by other means then i will save the conversation to the clients fold,1,no resposese till now as he has not been reported,NULL,25,December,9,06/01/2021,11,,,,yes fees for December is paid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,1,Done,1,1002725.2,1,No transaction,1,No movement,,1,No Debtors or prepayment,1,No Debtors or prepayment,1,No Debtors or prepayment,1,No Debtors or prepayment,1,No Debtors or prepayment,,1,77m positive,1,No,,1,07/10/2020,1,EFD Machine,1,No disposal,1,No vat on purchase of EFD machine,,1,No,,1,reducing with cash inflow,1,No,1,Paid,,1,Done,1,NiL,1,Done,1,Paid,1,Paid till Dec 2020,1,N/A,1,Done,1,Not yet,1,N/A,,1,Paid,1,Not yet after reviewing,1,Not done,1,Done,1,Not yet,1,8m refund,1,No,1,Paid by landlord,1,No,,1,Done,1,Done - sales sumarry with EFD summary,1,No,1,No,NULL,1,No,1,No,1,No,,1,Checked,1,Yes,1,Not yet - after review,1,"Yes , whatsapp",1,Not yet,NULL,154,December,9,16/01/2021,14,,,,Yes,1,18/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,1,Reconciled,1,Ok,1,N/A,1,Agreed by client,,1,N/A,1,N/A,1,N/A,1,N/A,1,N/A,,1,N/A,1,N/A,,1,Noted,1,Noted,1,Noted,1,Noted,,1,N/A,,1,N/A,1,N/A,1,Reconciles,,1,Done,1,Done,1,Done,1,To be paid after 20th,1,To be paid after 20th,1,N/A,1,Done,1,Done,1,N/A,,1,Yes,1,Done,1,N/A,1,Yes,1,Yes,1,on Refund,1,N/A,1,N/A,1,N/A,,1,Amendment done in Dec 2020,1,Yes,1,Noted,1,Noted,NULL,1,Noted,1,Noted,1,Noted,,1,Noted,1,Not yet,1,MND has Reviewed it,1,MND has Reviewed it,1,Agreed,NULL,173,December,7,16/01/2021,17,,,,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,1,bank ac has been reconciled with the statement,1,"cash positive by 128,877,779/-",1,Kilimanjaro cables cheque has been cleared in Jan 2021,1,no  loan ac in the books,,1,receivables has been confirmed,1,client has confirmed those balances,1,client has confirmed 2 outstanding balances,1,NHC & Rental Key Deposit,1,client said it will be done in Jan 2021,,1,"closing stock positive by 328,024,004 /-",1,no such case,,1,no any additions,1,no any additions,1,no any proceeds received/disposed,1,n/a,,1,ABB Balance reconciles with the statement,,1,creditors balance have been confirmed by the client,1,no any,1,accruals of wcf and nssf which will be paid by end of month.,,1,checked on monthly basis,1,n/a- salary below the tax rate,1,nil returns are being submitted every month,1,done on monthly basis,1,done on monthly basis,1,done on annual basis,0,,1,to be submitted by end of month,1,to be submitted by end of month,,0,,1,to be filed this month,1,no any liabilities,1,yes reconciling,1,yes,1,"Vat refund of 882,357/-",1,no,1,rent is paid to NHC,0,,,1,N/A,1,Reconciled on monthly basis,1,no any error in this month,0,n/a,NULL,1,checked,1,checked,1,checked,,1,reviewed,1,not yet,0,,0,,0,,NULL,39,December,9,16/01/2021,18,,,,no,1,18/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183,1,no bank account,1,"cash positive by 491,753/-",1,no bank account,1,"loan ac has an outstanding balance of 20,500,000/-",,1,no receivables,1,no receivables,1,no receivables,1,no prepayments,1,no receivables,,1,stock is NEGATIVE,0,,,1,No additions,1,No additions,1,no any proceed received,1,n/a,,1,no any inter comp transactions,,1,no creditors,1,no any,1,"accruals of accounting fees, wcf and nssf which will be paid by end of month.",,1,checked on monthly basis,1,n/a- since the salary is below the tax rate,1,n/a- only 1 employee,1,done on monthly basis,1,client pays himself,0,,1,"drawings of 800,000/- shown per month",1,to be submitted by end of month,1,to be submitted by end of month,,0,,1,to be filed this month,0,,1,reconciling,1,yes,1,"payable by 405,242/-",0,no,1,rent paid to NHC,0,,,0,,1,Yes reconciling on monthly basis,0,,0,,NULL,1,checked,1,checked,1,checked,,1,reviewed,1,not yet,1,not yet,0,,0,,NULL,42,December,9,15/01/2021,18,,,,no,1,18/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2184,1,Reconciles,1,Ok,1,N/A,1,N/A,,1,N/A,1,N/A,1,N/A,1,N/A,1,N/A,,1,Stock sheet to be provided by client,1,Noted,,1,Noted,1,Noted,1,Noted,1,Noted,,1,N/A,,1,N/A,1,N/A,1,Reconciles,,1,Done,1,Yes,1,Yes,1,Not yet,1,Not yet,1,Done,1,N/A,1,Yes,1,Yes,,1,Yes,1,Done,1,N/A,1,Yes,1,Yes,1,Yes,1,N/A,1,Paid,1,Client deals himself,,1,No Amendement was required,1,Yes,1,Noted,1,Noted,NULL,1,Noted,1,Noted,1,Noted,,1,Noted,1,Yes,1,Reviewed by MND,1,Reviewed by MND,1,Ok,NULL,109,December,7,16/01/2021,17,,,,Not Yet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,1,bank ac has been reconciled,1,cash is positive,1,no any outstanding cheques or deposits,1,loan ac has been kept outstanding since no cash,,1,no receivables,1,no receivables,1,no any,1,no any,1,no receivables,,1,stock positive by 59M,1,n/a,,1,no any additions,1,no any additions,1,no any proceeds received /disposed,1,n/a,,1,no inter comp transactions,,1,creditors statement hasnot been provided by the client,1,no any,1,accruals of wcf which will be paid by end of month.,,1,checked,1,n/a-salary below the tax rate,1,n/a- only 1 employee,1,paid on monthly basis,1,client doesnt want to pay,0,,1,"drawings of 800,000/- shown per month",1,to be done by this month,1,to be done by this month,,0,,1,to be filed by this month,1,no liabilities,1,reconciling,1,done before 20th,1,"vat refund by 3,750,102/-",1,n/a- no exempt sales,1,"rent inv for nov and dec hasnot been provided, have informed client already",0,,,0,,1,done monthly,0,,0,,NULL,1,checked,1,checked,1,checked,,1,reviewed,1,not yet,1,not yet,0,,0,,NULL,35,December,8,15/01/2021,18,,,,,0,18/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,1,no bank account,1,"cash positive by 812,545/-",1,no bank account,1,"loan ac has an outstanding balance of 54,500,000/-",,1,no receivables,1,no receivables,1,no receivables,1,no prepayments,1,no receivables,,1,stock positive by 73M,0,,,1,no additions,1,no additions,1,no any proceeds received,1,n/a,,1,no any inter comp transactions,,1,creditors statement not yet provided by the client,1,no any,1,no accruals,,1,checked on monthly basis,1,n/a-salary below the tax rate,1,n/a,1,not yet registered in WCF,1,not  registered in nssf,0,,1,"drawings of 800,000/- shown per month",1,to be submitted by end of month,1,to be submitted by end of month,,1,n/a,1,"not yet, to be done this month",1,no any liabilities,1,reconciling,1,yes,1,"refund of 89,695/-",1,n/a- no exempt sales,1,not paid,0,,,0,,1,reconciling on monthly basis,1,no errors this month,0,,NULL,1,checked,1,checked,1,checked,,1,reviewed,1,"not yet, Taha to review and then send him",1,"not yet, Taha to review and then send him",0,,0,,NULL,28,December,8,18/01/2021,18,,,,yes,1,18/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2189,1,no bank account,1,"cash positive by 491,753/-",1,no bank account,1,"loan ac has an outstanding balance of 20,500,000/-",,1,no receivables,1,no receivables,1,no receivables,1,no prepayments,1,no receivables,,1,stock is NEGATIVE,0,,,1,No additions,1,No additions,1,no any proceed received,1,n/a,,1,no any inter comp transactions,,1,no creditors,1,no any,1,"accruals of accounting fees, wcf and nssf which will be paid by end of month.",,1,checked on monthly basis,1,n/a- since the salary is below the tax rate,1,n/a- only 1 employee,1,done on monthly basis,1,client pays himself,0,,1,"drawings of 800,000/- shown per month",1,to be submitted by end of month,1,to be submitted by end of month,,1,to be filed this month,0,,0,,1,reconciling,1,yes,1,"payable by 405,242/-",0,no,1,rent paid to NHC,0,,,0,,1,Yes reconciling on monthly basis,0,,0,,NULL,1,checked,1,checked,1,checked,,1,reviewed,1,not yet,1,not yet,0,,0,,NULL,42,December,9,15/01/2021,9,,,,no,1,18/01/2021,ok,ok,ok,ok,ok,ok,ok,ok,ok,how much,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,ok,,ok,,ok,ok,ok,ok,ok,,,ok,,,ok,ok,ok,ok,please inform by email,copy email to partner,,,ok
